ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,DIRECTORY,EDITION,PAGE,GRID_REFERENCE_X,GRID_REFERENCE_Y,LIGHT_CONDITION,LIGHT_CONDITION_DESC,NODE_ID_x,NO_OF_VEHICLES,NO_PERSONS,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_KILLED,NO_PERSONS_NOT_INJ,POLICE_ATTEND,ROAD_GEOMETRY,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,NODE_ID_y,NODE_TYPE,AMG_X,AMG_Y,LG_AREA_NAME,REGION_NAME,DEG_URBAN_NAME,LATITUDE,LONGITUDE,POSTCODE
22002019746,3/06/2002,21.00.00,3,Struck animal,2,Monday,167,STRUCK ANIMAL                        ,MEL,40.0,444,B,10.0,3,Dark Street lights on,150950,1,3,0,3,0,0,1,5,Not at intersection,3,100,150950.0,N,2467180.526,2374741.447,GEELONG,SOUTH WESTERN REGION,Country,-38.12809,144.6257,3221.0
22002020235,11/06/2002,18.50.00,3,Struck animal,3,Tuesday,167,STRUCK ANIMAL                        ,VCS,9.0,503,N,4.0,5,Dark No street lights,159174,1,1,0,1,0,0,2,5,Not at intersection,3,80,159174.0,N,2201727.68,2344739.656,GLENELG,SOUTH WESTERN REGION,Other Towns,-38.350770000000004,141.58746000000002,3305.0
22002020345,1/06/2002,18.18.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9.0,571,M,2.0,5,Dark No street lights,181960,1,1,0,1,0,0,2,5,Not at intersection,3,100,181960.0,N,2393492.191,2433920.944,BALLARAT,WESTERN REGION,Country,-37.5894,143.79391999999999,3351.0
22002022197,29/06/2002,02.10.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9.0,443,E,11.0,5,Dark No street lights,150982,1,1,0,1,0,0,1,5,Not at intersection,3,100,150982.0,N,2430751.648,2382305.134,GOLDEN PLAINS,SOUTH WESTERN REGION,Country,-38.05795,144.21097,3331.0
22002022356,1/07/2002,06.00.00,3,Struck animal,2,Monday,167,STRUCK ANIMAL                        ,VCS,9.0,77,E,6.0,5,Dark No street lights,188733,1,1,0,1,0,0,2,5,Not at intersection,3,100,188733.0,N,2431881.459,2410202.312,MOORABOOL,WESTERN REGION,Country,-37.8067,144.22643,3342.0
22002023376,28/04/2002,19.05.00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL                        ,VCS,9.0,58,A,4.0,5,Dark No street lights,181979,4,7,1,0,0,6,1,5,Not at intersection,2,100,181979.0,N,2368910.907,2482413.136,PYRENEES,WESTERN REGION,Country,-37.14934,143.52411,3352.0
22002023705,12/07/2002,06.50.00,3,Struck animal,6,Friday,167,STRUCK ANIMAL                        ,VCS,9.0,425,C,9.0,2,Dusk/Dawn,139127,1,1,0,1,0,0,2,5,Not at intersection,3,100,139127.0,N,2463245.738,2433996.464,MELTON,METROPOLITAN NORTH WEST REGION,Country,-37.59407,144.58378000000002,3337.0
22002024274,21/12/2001,20.30.00,3,Struck animal,6,Friday,167,STRUCK ANIMAL                        ,MEL,40.0,505,B,8.0,5,Dark No street lights,151009,1,2,0,1,0,1,2,5,Not at intersection,3,100,151009.0,N,2437144.895,2351264.687,SURF COAST,SOUTH WESTERN REGION,Country,-38.33802,144.28114,3228.0
22002027660,9/04/2002,03.30.00,3,Struck animal,3,Tuesday,167,STRUCK ANIMAL                        ,VCS,9.0,510,A,11.0,5,Dark No street lights,159201,1,1,1,0,0,0,2,5,Not at intersection,2,100,159201.0,N,2268329.047,2351759.718,MOYNE,SOUTH WESTERN REGION,Country,-38.30666,142.35123000000002,3282.0
22002029035,7/08/2002,18.30.00,3,Struck animal,4,Wednesday,167,STRUCK ANIMAL                        ,VCS,9.0,76,E,7.0,5,Dark No street lights,151052,1,1,0,1,0,0,2,5,Not at intersection,3,100,151052.0,N,2390455.18,2407316.427,GOLDEN PLAINS,SOUTH WESTERN REGION,Country,-37.82874,143.75558999999998,3352.0
